,TP,TP+FP,TP+FN,precision,recall,f1
预防,29,60,78,0.4833,0.3718,0.4203
阶段,20,30,44,0.6667,0.4545,0.5405
就诊科室,2,3,4,0.6667,0.5,0.5714
同义词（其他/其他）,0,0,0,1.0,1.0,1.0
辅助治疗,164,295,382,0.5559,0.4293,0.4845
化疗,19,24,34,0.7917,0.5588,0.6552
放射治疗,8,17,30,0.4706,0.2667,0.3404
同义词（其他治疗/其他治疗）,2,5,10,0.4,0.2,0.2667
手术治疗,85,142,196,0.5986,0.4337,0.503
同义词（手术治疗/手术治疗）,1,6,2,0.1667,0.5,0.25
实验室检查,253,445,447,0.5685,0.566,0.5673
影像学检查,189,306,317,0.6176,0.5962,0.6067
辅助检查,42,104,130,0.4038,0.3231,0.359
组织学检查,39,58,91,0.6724,0.4286,0.5235
同义词（检查/检查）,32,57,69,0.5614,0.4638,0.5079
内窥镜检查,20,35,41,0.5714,0.4878,0.5263
筛查,9,9,37,1.0,0.2432,0.3913
多发群体,83,103,145,0.8058,0.5724,0.6694
发病率,46,76,86,0.6053,0.5349,0.5679
发病年龄,35,46,58,0.7609,0.6034,0.6731
多发地区,25,30,35,0.8333,0.7143,0.7692
发病性别倾向,18,25,35,0.72,0.5143,0.6
死亡率,10,13,16,0.7692,0.625,0.6897
多发季节,13,16,15,0.8125,0.8667,0.8387
传播途径,3,6,12,0.5,0.25,0.3333
同义词（流行病学/流行病学）,0,0,2,1.0,0.0,0.0
同义词（疾病/疾病）,478,562,582,0.8505,0.8213,0.8357
并发症,276,400,540,0.69,0.5111,0.5872
病理分型,264,360,497,0.7333,0.5312,0.6161
相关（导致）,90,130,315,0.6923,0.2857,0.4045
鉴别诊断,184,230,290,0.8,0.6345,0.7077
相关（转化）,33,64,165,0.5156,0.2,0.2882
相关（症状）,34,49,74,0.6939,0.4595,0.5528
临床表现,1877,2743,3001,0.6843,0.6255,0.6536
治疗后症状,3,6,25,0.5,0.12,0.1935
侵及周围组织转移的症状,0,1,12,0.0,0.0,0.0
同义词（症状/症状）,0,1,7,0.0,0.0,0.0
病因,413,600,737,0.6883,0.5604,0.6178
高危因素,121,201,272,0.602,0.4449,0.5116
风险评估因素,39,63,122,0.619,0.3197,0.4216
病史,12,16,36,0.75,0.3333,0.4615
遗传因素,10,10,23,1.0,0.4348,0.6061
同义词（社会学/社会学）,17,26,36,0.6538,0.4722,0.5484
发病机制,1,1,6,1.0,0.1667,0.2857
病理生理,6,6,12,1.0,0.5,0.6667
药物治疗,673,1015,1043,0.6631,0.6453,0.654
同义词（药物/药物）,24,50,39,0.48,0.6154,0.5393
发病部位,160,236,304,0.678,0.5263,0.5926
转移部位,15,25,49,0.6,0.3061,0.4054
外侵部位,8,12,31,0.6667,0.2581,0.3721
同义词（部位/部位）,0,0,1,1.0,0.0,0.0
预后状况,5,17,47,0.2941,0.1064,0.1563
预后生存率,3,3,31,1.0,0.0968,0.1765
